Ticker,Share Price,Frequency,Dividend Amount,Company,Payment Date,Ex-Dividend Date,Ticker URL
AAON,$75.38,Unknown,0.1,"AAON, Inc. Common Stock",9/25/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/aaon/dividend-history
CASS,$55.20,4 (Quarterly),0.32,"Cass Information Systems, Inc Common Stock",9/14/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/cass/dividend-history
CBSH,$57.14,4 (Quarterly),0.275,"Commerce Bancshares, Inc. Common Stock",9/22/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/cbsh/dividend-history
CHRW,$148.31,4 (Quarterly),0.63,"C.H. Robinson Worldwide, Inc. Common Stock",10/02/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/chrw/dividend-history
CURI,$2.8105,4 (Quarterly),0.085,CuriosityStream Inc. Class A Common Stock,9/18/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/curi/dividend-history
EXC,$43.83,4 (Quarterly),0.42,Exelon Corporation Common Stock,9/15/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/exc/dividend-history
EXPO,$70.30,4 (Quarterly),0.31,"Exponent, Inc. Common Stock",9/18/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/expo/dividend-history
FRME,$40.8495,4 (Quarterly),0.37,First Merchants Corporation Common Stock,9/18/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/frme/dividend-history
GOOG,$333.0389,4 (Quarterly),0.22,Alphabet Inc. Class C Capital Stock,9/14/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/goog/dividend-history
GOOGL,$336.4495,4 (Quarterly),0.22,Alphabet Inc. Class A Common Stock,9/14/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/googl/dividend-history
HWC,$73.60,4 (Quarterly),0.5,Hancock Whitney Corporation Common Stock,9/15/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/hwc/dividend-history
ICFI,$89.00,Unknown,0.14,"ICF International, Inc. Common Stock",10/09/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/icfi/dividend-history
III,$5.06,Unknown,0.045,Information Services Group Inc. Common Stock,9/25/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/iii/dividend-history
JKHY,$168.20,4 (Quarterly),0.61,"Jack Henry & Associates, Inc. Common Stock",9/23/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/jkhy/dividend-history
KHC,$26.08,4 (Quarterly),0.4,The Kraft Heinz Company Common Stock,9/25/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/khc/dividend-history
KMB,$107.8549,4 (Quarterly),1.28,Kimberly-Clark Corporation Common Stock,10/02/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/kmb/dividend-history
MBWM,$59.9392,4 (Quarterly),0.4,Mercantile Bank Corporation Common Stock,9/16/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/mbwm/dividend-history
NAVI,$9.28,4 (Quarterly),0.16,Navient Corporation Common Stock,9/18/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/navi/dividend-history
NTRS,$182.68,4 (Quarterly),0.88,Northern Trust Corporation Common Stock,10/01/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/ntrs/dividend-history
OBT,$37.50,4 (Quarterly),0.18,"Orange County Bancorp, Inc. Common Stock",9/15/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/obt/dividend-history
ONB,$25.31,4 (Quarterly),0.145,Old National Bancorp Common Stock,9/15/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/onb/dividend-history
OTEX,$23.64,4 (Quarterly),0.28,Open Text Corporation Common Shares,9/18/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/otex/dividend-history
PEP,$140.37,4 (Quarterly),1.48,"PepsiCo, Inc. Common Stock",9/30/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/pep/dividend-history
PYPL,$52.57,4 (Quarterly),0.14,"PayPal Holdings, Inc. Common Stock",9/25/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/pypl/dividend-history
RECT,$1.39,Unknown,0.1,Rectitude Holdings Ltd Ordinary Shares,9/21/2026,9/04/2026,https://www.nasdaq.com/market-activity/stocks/rect/dividend-history
